# Temps	MSD_moyen	Sim_0	Sim_1	Sim_2	Sim_3	Sim_4	Sim_5	Sim_6	Sim_7	Sim_8	Sim_9	Sim_10	Sim_11	Sim_12	Sim_13	Sim_14	Sim_15	Sim_16	Sim_17	Sim_18	Sim_19
5.090000e+02	7.665038e-01	2.629366e-01	3.157479e-01	5.776357e-01	8.904631e-01	1.075151e-01	5.184401e-02	7.564198e-01	1.206950e-01	1.485315e+00	3.442705e+00	2.636392e-01	4.872400e-01	1.022346e-01	5.020524e-01	1.141592e+00	2.616654e+00	1.013545e+00	3.444139e-01	8.374008e-01	1.002695e-02
5.100000e+02	7.689581e-01	2.624187e-01	3.118566e-01	5.775621e-01	8.910731e-01	1.092371e-01	5.211589e-02	7.586034e-01	1.201171e-01	1.490733e+00	3.466022e+00	2.637892e-01	4.905294e-01	1.016783e-01	4.965317e-01	1.151042e+00	2.624741e+00	1.018552e+00	3.408314e-01	8.409991e-01	1.072821e-02
5.110000e+02	7.716976e-01	2.617486e-01	3.092041e-01	5.773246e-01	8.933611e-01	1.113058e-01	5.241346e-02	7.614870e-01	1.196839e-01	1.495286e+00	3.490469e+00	2.647296e-01	4.944375e-01	1.009100e-01	4.908395e-01	1.159816e+00	2.637647e+00	1.022137e+00	3.379475e-01	8.417838e-01	1.141979e-02
5.120000e+02	7.746793e-01	2.614555e-01	3.060034e-01	5.777642e-01	8.959461e-01	1.134152e-01	5.274257e-02	7.650627e-01	1.191089e-01	1.501122e+00	3.517803e+00	2.643998e-01	4.988924e-01	1.003877e-01	4.856644e-01	1.167768e+00	2.652282e+00	1.024601e+00	3.358840e-01	8.412457e-01	1.203758e-02
5.130000e+02	7.777016e-01	2.610743e-01	3.027059e-01	5.781116e-01	8.977363e-01	1.150559e-01	5.320837e-02	7.704173e-01	1.178350e-01	1.507640e+00	3.547614e+00	2.630697e-01	5.042795e-01	1.000146e-01	4.804045e-01	1.176445e+00	2.665097e+00	1.026971e+00	3.349493e-01	8.386763e-01	1.272665e-02
5.140000e+02	7.806407e-01	2.613117e-01	3.004368e-01	5.794367e-01	8.988300e-01	1.162072e-01	5.371122e-02	7.767609e-01	1.157426e-01	1.512203e+00	3.576478e+00	2.621605e-01	5.100835e-01	9.947815e-02	4.755545e-01	1.185521e+00	2.676638e+00	1.029504e+00	3.346094e-01	8.346771e-01	1.346820e-02
5.150000e+02	7.833421e-01	2.620438e-01	2.978890e-01	5.825653e-01	8.990825e-01	1.170261e-01	5.392300e-02	7.817913e-01	1.129854e-01	1.514562e+00	3.600355e+00	2.612430e-01	5.157410e-01	9.836880e-02	4.719852e-01	1.196000e+00	2.689140e+00	1.032977e+00	3.339018e-01	8.311238e-01	1.413738e-02
5.160000e+02	7.860101e-01	2.624265e-01	2.946639e-01	5.865397e-01	8.997049e-01	1.172603e-01	5.383051e-02	7.861057e-01	1.107864e-01	1.515496e+00	3.620017e+00	2.602823e-01	5.210851e-01	9.685486e-02	4.695030e-01	1.206039e+00	2.703703e+00	1.039732e+00	3.323009e-01	8.291849e-01	1.468600e-02
5.170000e+02	7.887102e-01	2.631246e-01	2.912514e-01	5.903183e-01	9.008215e-01	1.172415e-01	5.376555e-02	7.902264e-01	1.091967e-01	1.515078e+00	3.637949e+00	2.593928e-01	5.262798e-01	9.562248e-02	4.673562e-01	1.213310e+00	2.717783e+00	1.049345e+00	3.308504e-01	8.302238e-01	1.506827e-02
5.180000e+02	7.914890e-01	2.641223e-01	2.876893e-01	5.950636e-01	9.013797e-01	1.172982e-01	5.359506e-02	7.946955e-01	1.079984e-01	1.513237e+00	3.655465e+00	2.588125e-01	5.316131e-01	9.461874e-02	4.655490e-01	1.218869e+00	2.731370e+00	1.060133e+00	3.295921e-01	8.333766e-01	1.530083e-02
